QuollID,BankID,Sex,Morph,Origin,OriginSpecific,YearOfAcquisition,Trial,DateOfAcquisition,ReleaseType,CurrentStatus,Release1Date,Polygon,GeneralLocation,ReleaseX,ReleaseY,Expr1029,ReleaseWeight,ReleaseCondition,PYN,PYPA,PYNRelease,PYPARelease,Fate,FixN,FixPC,DaysN,DaysPC,DaysMax,FixC,CodenN,CodenPC,Coden,CodenPA,DenSharingProp,MovedDens,MovedProp,MovedPerc,DistanceMean,DistanceMeanZero
8,EQ01,Female,Black,Captive,MtR,2016,1,11/02/2016,Captive-Wild,"E, A",2/03/2016,MF25A/4B,Pipeline Road,698748,6106221,0.84,0.84,Good,6,Present,0,Absent,Deceased,33,79,36,86,42,30,2,6,1,Den shared,6.666666667,15,50,0.5,88.9415046,184.2359738
5,EQ02,Male,,Captive,MtR,2016,1,11/02/2016,Captive-Wild,"E, D",29/02/2016,MF22A/1A,Main Mulligans Track,697720,6106595,1.22,1.22,Excellent,,,,,Deceased,1,2/01/1900,1,2,42,0,1,100,1,Den shared,N/A,N/A,N/A,N/A,N/A,N/A
4,EQ03,Female,Fawn,Captive,MtR,2016,1,11/02/2016,Captive-Wild,A,29/02/2016,MF16A/1A,Mustering Track,696824,6107075,0.79,0.79,Good,7,Present,0,Absent,Survived,39,93,42,100,42,36,10,26,1,Den shared,27.77777778,19,52.77777778,0.527777778,491.3479173,955.3987281
9,EQ04,Male,Fawn,Captive,MtR,2016,1,11/02/2016,Captive-Wild,"E, D",1/03/2016,MF32/1B,Old Coach Road,697084,6106037,1.12,1.12,Good,,,,,Deceased,29,69,31,14/03/1900,42,27,3,10,1,Den shared,11.11111111,19,70.37037037,0.703703704,441.268692,637.3881107
7,EQ05,Female,,Captive,MtR,2016,1,11/02/2016,Captive-Wild,"E, E, D",29/02/2016,MF34/1A,Dam Paddock,696492,6105447,0.76,0.76,Good,0,Absent,0,Absent,Deceased,1,2,2,5,42,0,0,0,0,Did not share dens,N/A,N/A,N/A,N/A,N/A,N/A
6,EQ06,Male,Black,Captive,MtR,2016,1,11/02/2016,Captive-Wild,A,2/03/2016,MF25A/4B,Pipeline Road,698748,6106221,1.11,1.11,Good,,,,,Survived,39,2/04/1900,42,100,42,36,2,5,1,Den shared,5.555555556,21,58.33333333,0.583333333,298.0314791,521.5550885
10,EQ07,Female,Fawn,Wild,TAS (Pelverata),2016,1,29/02/2016,Wild-Wild,A,29/02/2016,MF16A/1A,Mustering Track,696824,6107075,1.09,1.09,Good,0,Absent,0,Absent,Survived,40,95,42,100,42,38,4,10,1,Den shared,10.52631579,25,65.78947368,0.657894737,144.959009,223.4784722
11,EQ08,Male,Black,Wild,TAS (Cygnet),2016,1,29/02/2016,Wild-Wild,"T, A",29/02/2016,MF22A/1A,Main Mulligans Track,697720,6106595,1.25,1.25,Excellent,,,,,Deceased,40,4/04/1900,42,100,42,38,4,10,1,Den shared,10.52631579,23,60.52631579,0.605263158,239.1358957,402.1830974
12,EQ09,Female,Fawn,Wild,TAS (Mt River),2016,1,29/02/2016,Wild-Wild,A,29/02/2016,MF22A/1A,Main Mulligans Track,697720,6106595,0.88,0.88,Fair,5,Present,0,Absent,Survived,40,95,42,9/04/1900,42,38,0,0,0,Did not share dens,0,18,47.36842105,0.473684211,235.7777072,513.163245
13,EQ10,Male,Fawn,Wild,TAS (Uxbridge),2016,1,1/03/2016,Wild-Wild,"M, D",1/03/2016,MF32/1B,Old Coach Road,697084,6106037,1.22,1.22,Good,,,,,Deceased,1,2/01/1900,1,2,42,0,0,0,0,Did not share dens,N/A,N/A,N/A,N/A,N/A,N/A
14,EQ11,Female,Fawn,Wild,TAS (Geeveston),2016,1,1/03/2016,Wild-Wild,"E, E, E, T",1/03/2016,MF34/1A,Dam Paddock,696492,6105447,0.88,0.88,Excellent,0,Absent,0,Absent,Deceased,1,2,1,2/01/1900,42,0,0,0,0,Did not share dens,N/A,N/A,N/A,N/A,N/A,N/A
15,EQ12,Male,Black,Wild,TAS (Lonna Vale),2016,1,1/03/2016,Wild-Wild,"E, E, E, D",1/03/2016,MF19A/4B,Main Mulligans Track,696760,6106437,1.43,1.43,Excellent,,,,,Deceased,1,2/01/1900,2,5,42,0,0,0,0,Did not share dens,N/A,N/A,N/A,N/A,N/A,N/A
16,EQ13,Male,Black,Wild,TAS (Pine Tiers Lagoon),2016,1,2/03/2016,Wild-Wild,"T, A",2/03/2016,MF25A/4B,Pipeline Road,698748,6106221,1.42,1.42,Excellent,,,,,Deceased,39,2/04/1900,42,100,42,35,12,31,1,Den shared,34.28571429,20,57.14285714,0.571428571,565.6222594,1012.166148
17,EQ14,Male,,Wild,TAS (14 Mile Road),2016,1,2/03/2016,Wild-Wild,"E, D",2/03/2016,MF25A/4B,Pipeline Road,698748,6106221,0.83,0.83,Fair,,,,,Deceased,8,19,8,19,42,7,1,12,1,Den shared,14.28571429,4,57.14285714,0.571428571,238.2269972,476.4539944
