DenID,BankID,QuollCode,Sex,Morph,Origin,YearOfAcquisition,DateOfAcquisition,ReleaseType,TrackedDenDate,POSIXdate,DaysPostRelease,DaysBetween,X,Y,History,Fate,Coden,CodenPrev,PouchYoung,PouchBorn,PouchAge,ReleaseX,ReleaseY
2,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,1/03/2016,2016.03.01,1,0,696231,6106938,Alive,Survived,Den shared,Alone,Absent,Absent,,696824,6107075
6,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,2/03/2016,2016.03.02,2,1,696231,6106938,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
15,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,3/03/2016,2016.03.03,3,1,696478,6105597,Alive,Survived,Alone,Den shared,Absent,Absent,,696824,6107075
25,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,4/03/2016,2016.03.04,4,1,696448,6106929,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
35,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,5/03/2016,2016.03.05,5,1,697649,6106577,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
45,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,6/03/2016,2016.03.06,6,1,697649,6106577,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
56,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,7/03/2016,2016.03.07,7,1,697649,6106577,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
67,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,8/03/2016,2016.03.08,8,1,696686,6106461,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
77,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,9/03/2016,2016.03.09,9,1,696459,6105516,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
86,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,10/03/2016,2016.03.10,10,1,696686,6106461,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
94,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,11/03/2016,2016.03.11,11,1,696326,6105824,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
104,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,12/03/2016,2016.03.12,12,1,696326,6105824,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
122,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,14/03/2016,2016.03.14,14,2,697649,6106577,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
131,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,15/03/2016,2016.03.15,15,1,696350,6105658,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
140,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,16/03/2016,2016.03.16,16,1,696286,6106134,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
149,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,17/03/2016,2016.03.17,17,1,697931,6105987,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
157,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,18/03/2016,2016.03.18,18,1,697931,6105987,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
165,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,19/03/2016,2016.03.19,19,1,696459,6105587,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
173,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,20/03/2016,2016.03.20,20,1,697931,6105987,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
181,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,21/03/2016,2016.03.21,21,1,697931,6105987,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
189,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,22/03/2016,2016.03.22,22,1,696459,6105587,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
197,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,23/03/2016,2016.03.23,23,1,696459,6105587,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
205,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,24/03/2016,2016.03.24,24,1,696459,6105587,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
213,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,25/03/2016,2016.03.25,25,1,696459,6105587,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
221,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,26/03/2016,2016.03.26,26,1,696627,6105988,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
229,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,27/03/2016,2016.03.27,27,1,696459,6105587,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
237,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,28/03/2016,2016.03.28,28,1,696459,6105587,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
245,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,29/03/2016,2016.03.29,29,1,696883,6105546,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
253,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,30/03/2016,2016.03.30,30,1,696883,6105546,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
261,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,31/03/2016,2016.03.31,31,1,696883,6105546,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
269,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,1/04/2016,2016.04.01,32,1,696883,6105546,Alive,Survived,Alone,Alone,Absent,Absent,,696824,6107075
277,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,4/04/2016,2016.04.04,35,3,696883,6105546,Alive,Survived,Den shared,Alone,Absent,Absent,,696824,6107075
285,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,5/04/2016,2016.04.05,36,1,696627,6105988,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
292,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,6/04/2016,2016.04.06,37,1,696627,6105988,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
299,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,7/04/2016,2016.04.07,38,1,696627,6105988,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
306,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,8/04/2016,2016.04.08,39,1,696627,6105988,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
313,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,9/04/2016,2016.04.09,40,1,696627,6105988,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
320,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,10/04/2016,2016.04.10,41,1,696627,6105988,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
327,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,11/04/2016,2016.04.11,42,1,697546,6106048,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
334,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,12/04/2016,2016.04.12,43,1,697546,6106048,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
341,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,13/04/2016,2016.04.13,44,1,697546,6106048,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
347,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,14/04/2016,2016.04.14,45,1,697546,6106048,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
353,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,15/04/2016,2016.04.15,46,1,697546,6106048,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
359,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,16/04/2016,2016.04.16,47,1,697546,6106048,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
365,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,17/04/2016,2016.04.17,48,1,696878,6105552,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
371,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,18/04/2016,2016.04.18,49,1,696878,6105552,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
377,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,19/04/2016,2016.04.19,50,1,696878,6105552,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
383,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,20/04/2016,2016.04.20,51,1,696878,6105552,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
389,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,21/04/2016,2016.04.21,52,1,696878,6105552,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
395,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,22/04/2016,2016.04.22,53,1,696526,6105561,Alive,Survived,Alone,Den shared,Absent,Absent,,696824,6107075
401,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,23/04/2016,2016.04.23,54,1,696918,6105846,Alive,Survived,Den shared,Alone,Absent,Absent,,696824,6107075
407,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,24/04/2016,2016.04.24,55,1,696918,6105846,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
414,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,25/04/2016,2016.04.25,56,1,696918,6105846,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
420,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,26/04/2016,2016.04.26,57,1,696168,6106121,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
427,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,27/04/2016,2016.04.27,58,1,696168,6106171,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
433,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,28/04/2016,2016.04.28,59,1,696168,6106171,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
438,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,29/04/2016,2016.04.29,60,1,696168,6106171,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
445,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,1/05/2016,2016.05.01,62,2,696168,6106121,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
450,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,3/05/2016,2016.05.03,64,2,696168,6106121,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
456,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,4/05/2016,2016.05.04,65,1,696168,6106121,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
462,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,6/05/2016,2016.05.06,67,2,696574,6106328,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
476,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,7/05/2016,2016.05.07,68,1,697931,6105987,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
482,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,8/05/2016,2016.05.08,69,1,697931,6105987,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
495,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,9/05/2016,2016.05.09,70,1,698301,6105940,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
504,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,10/05/2016,2016.05.10,71,1,696918,6105846,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
507,EQ03,8FC0,F,Fawn,Captive,2016,11/02/2016,Captive-Wild,11/05/2016,2016.05.11,72,1,696168,6106121,Alive,Survived,Den shared,Den shared,Absent,Absent,,696824,6107075
