,DenID,BankID,QuollCode,Sex,Morph,Origin,Year,DateOfAcquisition,ReleaseType,TrackedDenDate,POSIXdate,DaysPostRelease,DaysBetween,X,Y,History,Fate,Coden,CodenPrev,PouchYoung,PouchBorn,PouchAge,ReleaseX,ReleaseY,cluster,meanX,meanY,x,y,date,dx,dy,dist,dt,R2n,abs.angle,rel.angle,BankID,Trial
36,44,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,6/03/2016,2016.03.06,4,1,698410,6106163,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,31,698408.8333,6106167.167,698408.8333,6106167.167,6/03/2016,560.5196078,-172.7745098,586.5434869,86400,0,-0.298999091,NA,EQ01,1
45,55,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,7/03/2016,2016.03.07,5,1,698970,6105995,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,15,698969.3529,6105994.392,698969.3529,6105994.392,7/03/2016,100.7581699,27.71895425,104.5014317,86400,344033.262,0.268462699,0.56746179,EQ01,1
54,66,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,8/03/2016,2016.03.08,6,1,699071,6106023,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,32,699070.1111,6106022.111,699070.1111,6106022.111,8/03/2016,-100.7581699,-27.71895425,104.5014317,86400,458329.4136,-2.873129954,3.141592654,EQ01,1
63,76,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,9/03/2016,2016.03.09,7,1,698970,6105995,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,15,698969.3529,6105994.392,698969.3529,6105994.392,9/03/2016,0,0,0,86400,344033.262,NA,NA,EQ01,1
72,85,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,10/03/2016,2016.03.10,8,1,698970,6105995,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,15,698969.3529,6105994.392,698969.3529,6105994.392,10/03/2016,0,0,0,86400,344033.262,NA,NA,EQ01,1
80,93,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,11/03/2016,2016.03.11,9,1,698970,6105995,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,15,698969.3529,6105994.392,698969.3529,6105994.392,11/03/2016,0,0,0,86400,344033.262,NA,NA,EQ01,1
88,103,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,12/03/2016,2016.03.12,10,1,698970,6105995,Alive,0,Den shared,Alone,Absent,Absent,NA,698748,6106221,15,698969.3529,6105994.392,698969.3529,6105994.392,12/03/2016,-14.65960784,24.1945098,28.2891924,86400,344033.262,2.115547439,-1.294507914,EQ01,1
96,112,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,13/03/2016,2016.03.13,11,1,698962,6106020,Alive,0,Alone,Den shared,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,13/03/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
103,121,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,14/03/2016,2016.03.14,12,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,14/03/2016,14.65960784,-24.1945098,28.2891924,86400,320039.156,-1.026045215,3.141592654,EQ01,1
111,130,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,15/03/2016,2016.03.15,13,1,698970,6105995,Alive,0,Den shared,Alone,Absent,Absent,NA,698748,6106221,15,698969.3529,6105994.392,698969.3529,6105994.392,15/03/2016,-14.65960784,24.1945098,28.2891924,86400,344033.262,2.115547439,3.141592654,EQ01,1
119,139,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,16/03/2016,2016.03.16,14,1,698962,6106020,Alive,0,Alone,Den shared,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,16/03/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
127,148,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,17/03/2016,2016.03.17,15,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,17/03/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
135,156,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,18/03/2016,2016.03.18,16,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,18/03/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
143,164,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,19/03/2016,2016.03.19,17,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,19/03/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
151,172,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,20/03/2016,2016.03.20,18,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,20/03/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
159,180,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,21/03/2016,2016.03.21,19,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,21/03/2016,32.30666667,117.4133333,121.7768925,86400,320039.156,1.302287595,-0.813259844,EQ01,1
167,188,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,22/03/2016,2016.03.22,20,1,698987,6106136,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,34,698987,6106136,698987,6106136,22/03/2016,64,315,321.4358412,86400,335248.0556,1.370350136,0.06806254,EQ01,1
175,196,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,23/03/2016,2016.03.23,21,1,699051,6106451,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,35,699051,6106451,699051,6106451,23/03/2016,-143,-418,441.7838838,86400,492939.3889,-1.900420734,3.012414437,EQ01,1
183,204,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,24/03/2016,2016.03.24,22,1,698908,6106033,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,36,698908,6106033,698908,6106033,24/03/2016,46.69333333,-14.41333333,48.86728513,86400,267168.0556,-0.299401639,1.601019095,EQ01,1
191,212,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,25/03/2016,2016.03.25,23,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,25/03/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
199,220,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,26/03/2016,2016.03.26,24,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,26/03/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
207,228,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,27/03/2016,2016.03.27,25,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,27/03/2016,-30.39921569,188.825098,191.2564508,86400,320039.156,1.730418087,2.029819726,EQ01,1
215,236,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,28/03/2016,2016.03.28,26,1,698925,6106206,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,37,698924.2941,6106207.412,698924.2941,6106207.412,28/03/2016,0,0,0,86400,267319.4881,NA,NA,EQ01,1
223,244,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,29/03/2016,2016.03.29,27,1,698925,6106206,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,37,698924.2941,6106207.412,698924.2941,6106207.412,29/03/2016,0,0,0,86400,267319.4881,NA,NA,EQ01,1
231,252,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,30/03/2016,2016.03.30,28,1,698925,6106206,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,37,698924.2941,6106207.412,698924.2941,6106207.412,30/03/2016,30.39921569,-188.825098,191.2564508,86400,267319.4881,-1.411174567,3.141592654,EQ01,1
239,260,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,31/03/2016,2016.03.31,29,1,698960,6106023,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,31/03/2016,-30.39921569,188.825098,191.2564508,86400,320039.156,1.730418087,3.141592654,EQ01,1
247,268,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,1/04/2016,2016.04.01,30,1,698925,6106206,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,37,698924.2941,6106207.412,698924.2941,6106207.412,1/04/2016,30.39921569,-188.825098,191.2564508,349200,267319.4881,-1.411174567,3.141592654,EQ01,1
262,284,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,5/04/2016,2016.04.05,34,1,698960,6106023,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,5/04/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
269,291,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,6/04/2016,2016.04.06,35,1,698960,6106023,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,6/04/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
276,298,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,7/04/2016,2016.04.07,36,1,698960,6106023,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,7/04/2016,NA,NA,NA,NA,320039.156,NA,NA,EQ01,1
